Provincia|Coordenadas
Alava|42.8464,-2.67238,50km
Albacete|38.99424,-1.85643,50km
Alicante|38.34517,-0.48149,50km
Almeria|36.83814,-2.45974,50km
Asturas|43.3666,-5.86112,50km
Avila|40.65724,-4.69951,50km
Badajoz|38.87789,-6.97061,50km
Barcelona|41.38879,2.15899,50km
Burgos|42.34106,-3.70184,50km
Caceres|39.47649,-6.37224,50km
Cadiz|36.52672,-6.2891,50km
Cantabria|43.2000000,-4.0333300,50km
Castellon|39.98567,-0.04935,50km
Ciudad Real|38.98626,-3.92907,50km
Cordoba|37.89155,-4.77275,50km
Cuenca|40.06667,-2.13333,50km
Gerona|41.98311,2.82493,50km
Granada|37.18817,-3.60667,50km
Guadalajara|40.62862,-3.16185,50km
Guipuzcoa|43.312800,-1.975000,50km
Huelva|37.26638,-6.94004,50km
Huesca|42.13615,-0.4087,50km
Islas Baleares|39.1896900,2.5213600,50km
Jaen|37.76922,-3.79028,50km
La Coruna|43.37135,-8.396,50km
La Rioja|36.94508,-2.46302,50km
Las Palmas|28.09973,-15.41343,50km
Leon|42.60003,-5.57032,50km
Lerida|41.61674,0.62218,50km
Lugo|43.00992,-7.55602,50km
Madrid|40.4165,-3.70256,50km
Malaga|36.72016,-4.42034,50km
Murcia|37.98704,-1.13004,50km
Orense|42.33669,-7.86407,50km
Palencia|42.00955,-4.52406,50km
Pontevedra|42.431,-8.64435,50km
Salamanca|40.96882,-5.66388,50km
Santa Cruz de Tenerife|28.46824,-16.25462,50km
Segovia|40.94808,-4.11839,50km
Sevilla|37.38283,-5.97317,50km
Soria|41.76401,-2.46883,50km
Tarragona|41.11667,1.25,50km
Teruel|40.3456,-1.10646,50km
Toledo|39.8581,-4.02263,50km
Valencia|39.46975,-0.37739,50km
Valladolid|41.65518,-4.72372,50km
Vizcaya|43.2500000,-2.9166700,50km
Zamora|41.50633,-5.74456,50km
Zaragoza|41.65606,-0.87734,50km
Ceuta|35.88919,-5.32042,50km
Melilla|35.29369,-2.93833,50km
